2023-12-04 13:50:37,343 p=524671 u=ssd n=ansible | PLAY [Modify the /etc/motd file] *********************************************************************************************************************
2023-12-04 13:50:37,358 p=524671 u=ssd n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************
2023-12-04 13:51:03,684 p=524671 u=ssd n=ansible | ok: [web01]
2023-12-04 13:51:26,186 p=524671 u=ssd n=ansible | ok: [web02]
2023-12-04 13:51:36,214 p=524671 u=ssd n=ansible | fatal: [db]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: connect to host 52.207.26.248 port 22: Connection timed out", "unreachable": true}
2023-12-04 13:51:36,287 p=524671 u=ssd n=ansible | TASK [Copy the welcome message to /etc/motd file] ****************************************************************************************************
2023-12-04 13:52:02,651 p=524671 u=ssd n=ansible | changed: [web01]
2023-12-04 13:52:27,135 p=524671 u=ssd n=ansible | changed: [web02]
2023-12-04 13:52:27,185 p=524671 u=ssd n=ansible | PLAY RECAP *******************************************************************************************************************************************
2023-12-04 13:52:27,186 p=524671 u=ssd n=ansible | db                         : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2023-12-04 13:52:27,186 p=524671 u=ssd n=ansible | web01                      : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-12-04 13:52:27,186 p=524671 u=ssd n=ansible | web02                      : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-12-04 13:53:09,842 p=528326 u=ssd n=ansible | PLAY [Install NTP service and change configuration] **************************************************************************************************
2023-12-04 13:53:09,853 p=528326 u=ssd n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************
2023-12-04 13:53:31,229 p=528326 u=ssd n=ansible | ok: [web01]
2023-12-04 13:53:52,597 p=528326 u=ssd n=ansible | ok: [web02]
2023-12-04 13:53:52,627 p=528326 u=ssd n=ansible | TASK [Install NTP on Ubuntu] *************************************************************************************************************************
2023-12-04 13:53:52,650 p=528326 u=ssd n=ansible | skipping: [web01] => (item=ntp) 
2023-12-04 13:53:52,659 p=528326 u=ssd n=ansible | skipping: [web01]
2023-12-04 13:54:21,477 p=528326 u=ssd n=ansible | changed: [web02] => (item=ntp)
2023-12-04 13:54:21,485 p=528326 u=ssd n=ansible | TASK [Start and enable NTP service on ubuntu] ********************************************************************************************************
2023-12-04 13:54:21,512 p=528326 u=ssd n=ansible | skipping: [web01]
2023-12-04 13:54:34,885 p=528326 u=ssd n=ansible | ok: [web02]
2023-12-04 13:54:34,892 p=528326 u=ssd n=ansible | TASK [Install ntp/chrony on CentOs] ******************************************************************************************************************
2023-12-04 13:54:34,913 p=528326 u=ssd n=ansible | skipping: [web01] => (item=chrony) 
2023-12-04 13:54:34,922 p=528326 u=ssd n=ansible | skipping: [web01]
2023-12-04 13:54:34,934 p=528326 u=ssd n=ansible | skipping: [web02] => (item=chrony) 
2023-12-04 13:54:34,936 p=528326 u=ssd n=ansible | skipping: [web02]
2023-12-04 13:54:34,946 p=528326 u=ssd n=ansible | TASK [Start and enable NTP service on CentOs] ********************************************************************************************************
2023-12-04 13:54:34,973 p=528326 u=ssd n=ansible | skipping: [web01]
2023-12-04 13:54:34,987 p=528326 u=ssd n=ansible | skipping: [web02]
2023-12-04 13:54:35,040 p=528326 u=ssd n=ansible | PLAY RECAP *******************************************************************************************************************************************
2023-12-04 13:54:35,040 p=528326 u=ssd n=ansible | web01                      : ok=1    changed=0    unreachable=0    failed=0    skipped=4    rescued=0    ignored=0   
2023-12-04 13:54:35,040 p=528326 u=ssd n=ansible | web02                      : ok=3    changed=1    unreachable=0    failed=0    skipped=2    rescued=0    ignored=0   
2023-12-04 13:55:19,616 p=531932 u=ssd n=ansible | PLAY [Install NTP service and change configuration] **************************************************************************************************
2023-12-04 13:55:19,627 p=531932 u=ssd n=ansible | TASK [Gathering Facts] *******************************************************************************************************************************
2023-12-04 13:55:40,721 p=531932 u=ssd n=ansible | ok: [web01]
2023-12-04 13:56:00,802 p=531932 u=ssd n=ansible | ok: [web02]
